-117.985 33.767 5.02
-118.001 33.624 5.29
-116.074 31.501 5.10
-114.801 31.784 5.65
-116.462 31.594 5.06
-117.587 31.731 5.03
-115.296 32.811 5.27
-117.511 33.699 5.23
-117.684 32.026 4.99
-117.516 32.062 5.25
-116.282 34.089 5.31
-116.306 34.037 5.20
-115.500 32.833 5.15
-115.500 32.855 5.41
-115.500 32.833 5.18
-115.500 32.833 5.18
-116.315 32.966 5.03
-119.564 34.329 5.47
-118.933 34.838 5.10
-118.264 33.791 5.12
-115.572 33.266 5.63
-116.968 34.268 5.28
-115.819 34.370 5.11
-116.731 33.989 5.06
-116.699 34.002 5.24
-115.631 33.082 5.77
-116.001 33.111 5.33
-117.941 35.723 5.43
-117.750 35.691 5.19
-117.820 35.678 5.43
-118.052 35.697 5.04
-117.778 35.779 5.24
-115.915 34.502 5.51
-116.719 35.017 5.00
-116.526 34.959 4.99
-116.481 33.994 5.30
-116.406 34.030 5.24
-118.585 32.498 5.20
-115.696 34.000 5.69
-116.750 32.127 5.66
-116.992 31.982 5.08
-115.448 33.089 5.33
-115.664 33.088 5.42
-115.119 32.622 5.95
-118.305 32.916 5.75
-119.066 34.973 5.80
-119.000 35.000 5.40
-119.000 35.000 5.18
-118.830 35.020 5.20
-118.792 35.115 5.19
-118.565 35.372 5.43
-118.628 35.378 5.07
-118.803 34.988 5.55
-118.799 35.166 5.51
-118.930 34.996 5.13
-118.463 35.332 5.55
-118.468 35.304 5.62
-118.895 35.357 5.72
-118.820 35.403 5.19
-118.497 35.249 5.64
-119.094 35.045 5.03
-118.954 35.352 5.52
-115.504 32.892 5.47
-119.061 34.982 5.40
-114.555 32.203 5.21
-114.352 32.195 5.66
-114.011 31.719 5.36
-116.098 33.209 5.48
-119.002 34.968 5.03
-116.136 31.608 5.92
-116.212 31.600 5.13
-116.188 31.561 5.16
-116.064 31.721 5.31
-115.472 32.955 5.26
-116.200 31.800 5.60
-116.135 31.615 5.58
-115.767 31.782 5.56
-115.605 31.575 5.02
-116.135 31.609 5.43
-115.940 31.426 5.37
-115.452 31.456 5.09
-115.253 31.721 5.21
-115.358 31.473 5.06
-115.758 31.523 5.04
-115.681 33.119 5.19
-116.028 33.223 5.05
-115.754 32.216 5.75
-115.882 32.080 5.39
-118.041 35.758 5.05
-117.795 35.864 5.13
-115.769 32.258 5.10
-116.252 31.973 5.60
-116.938 33.704 5.29
-115.387 31.685 5.00
-117.171 31.641 5.37
-116.432 34.714 5.14
-116.150 32.875 5.20
-119.723 34.139 5.05
-116.361 33.259 5.46
-121.341 34.595 5.40
-117.534 34.255 5.22
-118.370 34.416 5.80
-118.370 34.416 5.80
-118.370 34.416 5.30
-115.804 32.983 5.02
-119.050 33.979 5.30
-119.475 33.957 5.14
-116.488 34.512 5.28
-115.733 31.812 5.19
-115.447 32.128 4.99
-115.616 33.115 5.06
-114.543 31.553 5.45
-115.310 32.264 5.03
-119.706 34.314 5.08
-118.687 33.916 5.21
-116.416 34.326 5.23
-115.441 32.766 5.20
-115.559 32.954 5.06
-115.548 32.948 5.04
-115.558 32.999 5.80
-116.500 33.475 5.34
-115.624 33.096 5.75
-119.120 33.557 5.45
-117.756 35.743 5.12
-116.608 33.999 5.65
-117.874 32.971 5.45
-115.305 32.388 5.38
-118.079 34.061 5.90
-118.098 34.074 5.25
-115.696 31.745 5.49
-118.743 34.943 5.37
-115.775 31.822 5.25
-118.130 34.151 5.02
-116.681 33.979 5.03
-117.697 34.144 5.51
-117.993 34.270 5.80
-115.822 31.759 5.32
-116.408 34.131 5.77
-116.323 34.120 5.70
-116.473 34.060 5.00
-116.425 34.103 5.00
-116.426 34.115 5.49
-116.511 34.341 5.41
-116.852 34.162 5.53
-116.912 34.255 5.26
-116.289 36.698 5.40
-116.403 34.105 5.69
-116.390 34.105 5.08
-116.356 33.997 4.99
-116.464 34.330 5.34
-116.322 34.583 5.42
-118.067 35.210 5.67
-116.863 34.195 5.23
-116.361 34.064 5.26
-116.900 34.340 5.29
-116.898 34.369 5.26
-119.104 35.149 5.19
-116.321 34.029 5.00
-118.493 34.275 5.89
-118.614 34.340 5.20
-118.698 34.326 5.58
-118.698 34.377 5.24
-118.712 34.379 5.06
-118.619 34.378 5.07
-118.579 34.306 5.06
-118.475 34.231 5.24
-116.195 31.736 5.27
-118.669 34.394 5.02
-117.662 35.776 5.36
-117.638 35.761 5.75
-117.646 35.761 5.17
-117.650 36.075 5.30
-116.819 34.971 5.26
-118.670 34.369 5.07
-117.638 36.067 5.23
-117.618 36.076 5.04
-116.290 34.678 5.77
-116.252 34.441 5.37
-116.393 34.867 4.99
-116.409 34.865 4.99
-117.874 36.016 5.17
-116.514 33.508 5.02
-115.002 31.998 5.70
-115.322 32.319 5.70
-115.511 31.628 4.99
-116.848 34.310 4.99
-118.624 35.390 5.03
-116.573 33.529 5.20
-115.637 33.160 5.11
-118.163 32.455 4.99
-115.228 32.307 5.37
-115.277 32.359 5.10
-115.257 32.327 5.10
-115.313 32.432 5.01
-117.761 33.953 5.39
-116.419 34.813 5.06
-115.261 32.371 5.08
-117.859 36.388 5.00
-117.861 36.391 5.19
-115.189 32.464 5.80
-115.632 32.453 5.26
-115.048 32.099 5.70
-115.260 32.300 5.43
-115.293 32.266 5.38
-115.134 31.979 5.22
-115.268 32.165 5.29
-115.921 32.700 5.72
-116.489 33.420 5.43
-115.062 32.047 5.07
-115.554 33.017 5.32
-115.540 33.019 5.44
